Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Gnb2l1,5619,8284,8403,6565,6562,6156,6692,6103,4310
Gnb4,242,400,303,127,116,388,684,603,706
Gne,1150,823,1905,538,2130,1395,2263,0,541
Gng12,1959,2315,2108,1877,1784,1633,577,1857,680
Gng2,1373,970,1285,1928,1440,896,2507,711,2360
Gng5,1680,1957,2173,1740,2040,2029,2020,2319,1647
Gnl1,799,1032,1360,1206,1588,1247,1202,0,1367
Gnl2,1137,1516,1900,1494,2082,1637,1089,374,2062
Gnl3,2657,1268,2473,2228,1442,2264,523,1316,771
Gnl3l,656,1022,1635,825,1884,1382,1588,1464,607
Gnpat,3340,3887,4562,3913,2749,2708,5473,1919,3660
Gnpda1,486,626,491,1254,1493,1341,907,2478,1891
Gnpda2,519,407,530,506,652,520,851,195,1221
Gnpnat1,548,1116,1020,815,716,1354,385,899,593
Gnptab,4075,2312,3688,2483,1458,1694,730,641,1097
Gnptg,161,443,456,749,916,908,924,1485,809
Gns,1442,2308,997,1066,1963,1104,2412,2689,1809
Golga1,303,191,395,394,319,395,661,0,399
Golga2,621,527,664,619,781,1402,1264,0,435
Golga3,387,326,582,519,1199,1665,1352,1275,1612
Golga4,423,740,1178,87,1226,1382,367,1488,1039
Golga5,987,1118,1472,1190,820,1215,1570,705,1433
Golga7,2556,2661,2924,4137,3350,2731,2737,2614,2875
Golgb1,211,211,428,305,445,803,1267,425,885
Golim4,738,555,1009,472,703,1235,673,802,2306
Golm1,2673,2400,2420,1648,2742,2060,1230,104,1845
Golph3,1647,2104,2299,2123,2029,2243,3402,2787,3827
Golph3l,1462,1103,1941,1383,936,241,3566,1553,1676
Golt1b,639,714,798,546,640,1286,876,687,1167
Gon4l,341,20,470,156,449,234,237,18,453
Gopc,350,162,508,609,504,1012,807,0,619
Gorasp2,2660,2797,3242,3144,4720,2981,2949,968,3121
Gosr1,736,598,855,1233,1138,1420,1210,640,2121
Gosr2,4389,4417,4489,5214,5434,4476,3996,2456,4102
Got1,417,522,901,610,703,402,683,1189,872
