Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Scgb1b24,0,0,0,0,0,0,0,0,0
Gm12782,0,0,0,0,0,0,0,0,0
Gm28614,0,0,0,0,0,0,0,0,0
Gm26443,0,0,0,0,0,0,0,0,0
Gm12768,0,0,0,0,0,0,0,0,0
Scgb2b25-ps,0,0,0,0,0,0,0,0,0
Scgb1b25-ps,0,0,0,0,0,0,0,0,0
Gm12757,0,0,0,0,0,0,0,0,0
Gm28615,0,0,0,0,0,0,0,0,0
Gm12765,0,0,0,0,0,0,0,0,0
Scgb2b26,0,0,0,0,0,0,0,0,0
Scgb1b26-ps,0,0,0,0,0,0,0,0,0
Gm28184,0,0,0,0,0,0,0,0,0
Gm12773,0,0,0,0,0,0,0,0,0
Gm12755,0,0,0,0,0,0,0,0,0
Scgb2b27,0,0,0,0,0,0,0,0,0
Scgb1b27,0,0,0,0,0,0,0,0,0
Gm12760,0,0,0,0,0,0,0,0,0
Gm12779,0,0,0,0,0,0,0,1,0
Scgb1b30,0,0,0,0,0,0,0,0,0
Wtip,0,1,0,0,0,0,0,0,0
Uba2,5210,4266,6288,5039,4523,4805,4871,2612,4152
Gm12778,3,8,3,4,6,2,1,5,4
Gm12783,0,0,0,0,0,0,0,0,0
Pdcd2l,286,797,590,319,430,191,265,246,174
Gpi1,4027,4947,7251,5402,7161,5067,7086,5850,4581
Gm26762,0,62,37,0,0,233,183,0,270
Gm12762,0,0,0,0,0,0,0,0,0
Gm12758,0,37,0,0,0,0,0,0,0
4931406P16Rik,51,483,481,153,403,207,502,119,1080
Gm6096,0,0,0,0,0,0,0,0,0
Lsm14a,1349,1701,2156,1976,2310,1694,2910,1132,2569
Gm12774,0,0,7,0,0,0,0,0,0
Gm12764,0,8,5,7,2,0,0,0,0
Gm12766,0,0,0,0,0,0,0,0,0
Gm12780,0,0,0,0,0,0,0,0,0
Gm12784,0,0,0,0,0,0,0,0,0
Kctd15,0,0,0,78,0,0,0,0,0
Gm12781,0,0,0,0,0,0,0,0,0
Gm12756,0,0,0,0,0,0,0,0,0
Chst8,0,0,0,0,0,0,0,0,0
Pepd,798,1714,1052,1023,1511,1289,2382,1361,1366
